mean_dx,mean_dy,mean_dz,max_dx,max_dy,max_dz,mean_drx,mean_dry,mean_drz,max_drx,max_dry,max_drz,mean_pos_error_m,max_pos_error_m,wear_level,n_samples
0.007659954040330348,0.009607965312985002,0.0043363951761557,0.013127445181018216,0.01955847963381077,0.010448997178018893,0.0037587025197059927,0.0005235893204960164,0.057234654876373546,0.053934562334107206,0.0018932026162756799,6.282387540092653,0.015079193571374857,0.02330838857417194,0.0,118
0.008025759863931293,0.012315441235969882,0.0042711080792584505,0.01413599917957789,0.019577712232472594,0.007824492848413044,0.0004852717262930539,0.0008865498680195971,0.0008177842886566654,0.0010709735507741236,0.0014912186576528375,0.0013091974325278866,0.01576728405697179,0.024404274736571543,0.0,103
0.006688398629490123,0.02305715229413034,0.004234212615882151,0.01364301306650792,0.02624021447951974,0.005978210449561323,0.0009242475239812113,0.0004008768922454,0.0005338802616334714,0.001185631877744564,0.0007000054125786415,0.0011523511963398847,0.02476820277195573,0.02823502439023807,0.0,117
0.013682754627543234,0.008972310285059239,0.0036497820364794413,0.02702953126632196,0.01027484026772358,0.006237470348683105,0.0006814858996645376,0.0006746068313575328,0.0014691969627778354,0.002811001328247964,0.0012706108413598344,0.0033931527018373764,0.017852052300597474,0.028554426704589155,0.0,117
0.016686604815441628,0.008910885419938673,0.003703448226514279,0.023402171220735624,0.023569435236988706,0.006543800664607247,0.0007121895940963364,0.0005614415380519555,0.0010071355923154356,0.00167273007431179,0.0016285041246724141,0.002143328009875489,0.019861468872086764,0.029059821501907022,0.0,118
0.004289113258914439,0.011140315163147082,0.0035960054306577167,0.00652986744614148,0.01810218563819857,0.010209842284943649,0.0005964765913734067,0.0009392222305219472,0.0011690236989729827,0.0030781677014810604,0.0016140061169680475,0.0031794942436513818,0.01288708689484894,0.021084767099566772,0.0,118
0.018365443580211957,0.016840055310975984,0.003613627128487345,0.02830954664163085,0.028035048771598126,0.005796322631148626,0.0006838125676654525,0.0003560733104455301,0.0009511233506407328,0.002329382833690996,0.0008016183395278542,0.0023874920027314728,0.02792646458674205,0.028617318905593877,0.0,118
0.014999248982777852,0.01689891171995984,0.0055503851849811854,0.025454137217085976,0.025986192306699157,0.008614520934100312,0.000736586120083502,0.00039118302035389736,0.0006048022267645773,0.0014097560816919152,0.0009355990620346644,0.0010889361807963072,0.0256467497233125,0.026968302883309866,0.0,118
0.01665562028191044,0.01939060313073225,0.003812305313675812,0.0208724474463364,0.024419628503514423,0.009492953183256478,0.0006276335893307517,0.00025963678349085953,0.000899683874622827,0.0022698294646590345,0.0008567718360097398,0.0024013742652904124,0.02650886877316575,0.029001132270126514,0.0,117
0.012681354791382686,0.013848769513245682,0.003933521275492737,0.02291063555324499,0.02201018096668267,0.010247026854410854,0.001363789223814003,0.0006919346586881565,0.0015508749293989938,0.009920286200529205,0.0017607054398451893,0.009936562530564075,0.0201330735672117,0.029134085502241055,0.0,119
0.013347384028305563,0.012239682200494524,0.0038998766400742467,0.023496977234626737,0.020529619242335678,0.008168261671775534,0.0005522175531802205,0.000648998908414228,0.0008210738272942212,0.0018367853492016473,0.0012195992460115601,0.0019252835888168285,0.019703132227485317,0.028642616843913504,0.0,118
0.01599650766753634,0.009127761179136109,0.003611568380622466,0.02893971670896603,0.018286814553699793,0.009375993762128276,0.0015389489243398987,0.00047733846544463786,0.0019014648960707626,0.01025175844723969,0.001237067815674009,0.010396120200700576,0.020381641896770157,0.029112019859674505,0.0,116
0.005290059317281779,0.006851184967817833,0.0016104796143638714,0.008678723162857498,0.009882175414152143,0.0034017458160549435,0.07657219644091413,0.0009568567375541871,0.0042272179274156505,6.269469380038372,0.00227948989742055,0.014339177374384504,0.00951608512386384,0.01127273461133057,0.0,86
0.011563845538959096,0.014292191572062045,0.004478255799895099,0.01955816472823968,0.028854763513336962,0.009811291817987303,0.0011415004140522635,0.00016852923841802162,0.001459311484965296,0.004184799476909973,0.001772317203391438,0.003981323199890419,0.02094161412471174,0.02915239995447579,0.0,118
0.009650345437982995,0.01420099662112439,0.004358929662453606,0.022809189313921452,0.026362309721429694,0.010378954411045749,0.0007995779152741191,0.00046187401699844364,0.000820540304695581,0.0021152002372970546,0.0012467628358555638,0.002206955343168282,0.019880153524682184,0.0288128544342425,0.0,118
